smallRNA_id	logFC_tumor_vs_normal_FC	P.Value_tumor_vs_normal_FC	adj.P.Val_tumor_vs_normal_FC	logFC_tumor_vs_normal_salmon	P.Value_tumor_vs_normal_salmon	adj.P.Val_tumor_vs_normal_salmon	gene_type
URS000075B799_GR_chr1_207801852_207801939_88_-	-0.751906456	0.028795645	0.071945482	-1.463103248	0.010286205	0.035135259	precursor_RNA
URS00004AD914_GR_chr3_160404607_160404628_22_+	1.037140911	0.028919313	0.072145155	1.028751459	0.031761889	0.078117077	miRNA
URS00002CA973_GR_chr6_26577104_26577193_90_+	0.740302792	0.029247911	0.072845881	NA	NA	NA	tRNA
URS00000692DE_GR_chr1_173864144_173864224_81_-	0.931977882	0.029332726	0.072845881	NA	NA	NA	snoRNA
URS000069573D_GR_chr1_173864146_173864222_77_-	0.931977882	0.029332726	0.072845881	1.311466598	0.01595555	0.048398502	snoRNA
URS0000197BB5_GR_chr11_62855292_62855366_75_-	0.799844743	0.029844298	0.074004885	0.879229368	0.012605488	0.041039913	snoRNA
URS00003CF1AD_GR_chr8_22244975_22244996_22_-	-0.823440643	0.030409112	0.07529223	NA	NA	NA	miRNA
URS00005CB969_GR_chr17_35151223_35151256_34_-	-0.881115818	0.030482015	0.075359583	-0.94767111	0.017963249	0.05228839	misc_RNA
URS0000EFDB7B_GR_chr11_57641211_57641273_63_+	-1.010088175	0.030584101	0.075498775	NA	NA	NA	precursor_RNA
URS0000610FFE_GR_chr14_102317092_102317165_74_+	1.118984367	0.030872573	0.076096969	1.471515949	0.060285535	0.129386408	tRNA
URS00007E4FC7_GR_chr9_114209485_114209506_22_+	1.796679693	0.031380763	0.077234147	0.892401598	0.140637532	0.2405642	miRNA
URS000067843B_GR_chr9_34194813_34194907_95_-	0.861055206	0.031579899	0.077607027	NA	NA	NA	Y_RNA
URS0000429B3F_GR_chr6_27547752_27547823_72_-	0.929329577	0.031626393	0.077607027	3.629561534	0.070272729	0.145667843	tRNA
URS0000701C43_GR_chr2_218402649_218402719_71_+	-0.652389243	0.032199059	0.078823429	-1.014659172	0.019965073	0.056775677	precursor_RNA
URS0000EFE9A1_GR_chr2_218402656_218402713_58_+	-0.652258444	0.032217702	0.078823429	-1.072749823	0.001690541	0.009798677	precursor_RNA
URS00001B506A_GR_chr17_8120314_8120395_82_-	1.407340592	0.032279602	0.078857873	1.519951235	0.026569024	0.067535787	tRNA
URS00000E73CB_GR_chr2_218402657_218402678_22_+	-0.64484139	0.032948065	0.080371832	NA	NA	NA	miRNA
URS000042F13F_GR_chr1_161441533_161441615_83_+	0.845818561	0.033145678	0.080734451	1.998013537	0.013558867	0.043141849	tRNA
URS000075C05A_GR_chr2_218402646_218402722_77_+	-0.645378527	0.033375717	0.081174864	NA	NA	NA	precursor_RNA
URS000035EE7E_GR_chr17_49192528_49192599_72_+	0.905286628	0.033500201	0.081267425	NA	NA	NA	tRNA
URS000024B38F_GR_chr6_27505828_27505909_82_-	0.759965216	0.03351234	0.081267425	NA	NA	NA	tRNA
URS000014D9C1_GR_chr1_1167160_1167181_22_+	0.717621315	0.033762104	0.081737333	NA	NA	NA	miRNA
URS00006DFBDB_GR_chr11_57641201_57641283_83_+	-0.958992958	0.033867759	0.081737333	-0.923682234	0.024146292	0.063495468	precursor_RNA
URS0000A98AD5_GR_chr1_44778390_44778456_67_+	0.71655089	0.033880421	0.081737333	NA	NA	NA	snoRNA
URS00005ED615_GR_chr14_104117468_104117489_22_-	1.144039476	0.033904388	0.081737333	NA	NA	NA	miRNA
URS0000CBDC77_GR_chr1_151439069_151439089_21_+	0.761725221	0.033999179	0.081810608	NA	NA	NA	miRNA
URS0000367985_GR_chr17_31560016_31560037_22_+	-0.759908271	0.034034007	0.081810608	-0.859822547	0.021220841	0.058757459	miRNA
URS00006A2BF7_GR_chr17_40243223_40243319_97_+	0.788244255	0.034169368	0.08201643	NA	NA	NA	Y_RNA
URS000061A08C_GR_chr15_24981994_24982068_75_+	-0.724768704	0.03454536	0.082798398	-0.749178149	0.033245307	0.081107855	snoRNA
URS000040478E_GR_chr1_44778390_44778458_69_+	0.710148959	0.0346938	0.083033493	0.815635162	0.024959487	0.065267623	snoRNA
URS000012A1DD_GR_chr1_1167124_1167145_22_+	0.964626496	0.035102111	0.083888957	0.890775256	0.080869	0.161383312	miRNA
URS000074FAC4_GR_chr6_162788982_162789050_69_-	1.044182654	0.03527145	0.084171667	0.707175344	0.103661826	0.189803343	tRNA
URS00000711F0_GR_chr1_161440826_161440864_39_-	0.942927031	0.03535502	0.084249172	1.37669466	0.003525642	0.016710074	misc_RNA
URS00001B4903_GR_chr8_22244974_22244996_23_-	-0.783087356	0.035956758	0.085559442	-0.763762509	0.042650937	0.098010992	miRNA
URS00006FED78_GR_chr8_22244962_22245043_82_-	-0.774812869	0.037080693	0.087979947	NA	NA	NA	precursor_RNA
URS0000D53E88_GR_chr8_22244966_22245037_72_-	-0.774812869	0.037080693	0.087979947	-0.878426645	0.024145007	0.063495468	precursor_RNA
URS0000007D24_GR_chr7_148963315_148963410_96_+	0.705704174	0.037467366	0.088769664	0.584954762	0.044675254	0.102404234	Y_RNA
URS0000A90C8C_GR_chr16_2155025_2155104_80_-	1.237037647	0.037648412	0.088972543	NA	NA	NA	snoRNA
URS0000140295_GR_chrX_74218587_74218608_22_+	-0.718767108	0.037714862	0.088972543	NA	NA	NA	miRNA
URS000033F45D_GR_chrX_74218587_74218608_22_-	-0.718767108	0.037714862	0.088972543	NA	NA	NA	miRNA
URS0000630B8A_GR_chr5_181097474_181097555_82_-	1.378126157	0.038347424	0.09027558	NA	NA	NA	tRNA
URS000072890F_GR_chr16_87384022_87384094_73_-	0.772813786	0.038376702	0.09027558	NA	NA	NA	tRNA
URS0000188F7D_GR_chr7_148963315_148963407_93_+	0.719701688	0.038905417	0.091263431	NA	NA	NA	scRNA
URS000039E12D_GR_chr11_57641198_57641286_89_+	-0.926853408	0.038907333	0.091263431	NA	NA	NA	precursor_RNA
URS00005E1F00_GR_chr5_160485371_160485392_22_+	0.881571524	0.039939488	0.093551442	NA	NA	NA	miRNA
URS000032F804_GR_chr17_49192528_49192600_73_+	0.854729588	0.040741582	0.09529485	0.440940862	0.278153337	0.399242171	tRNA
hsa_piR_001168_DQ571524	0.781121819	0.041353361	0.096523494	0.398097149	0.471735618	0.592332832	piRNA
URS0000EFDC65_GR_chr17_31560015_31560071_57_+	-0.712695101	0.041383936	0.096523494	-0.571693367	0.073435046	0.149164937	precursor_RNA
hsa_piR_016658_DQ592931	0.810787597	0.041538095	0.096746213	0.457044335	0.175532244	0.281222432	piRNA
URS0000EFC9F6_GR_chr9_136670616_136670638_23_+	-0.851295874	0.042165838	0.09806977	-0.876450462	0.025907146	0.066607471	miRNA
URS000075EC4B_GR_chr17_31559996_31560083_88_+	-0.707859131	0.042523306	0.098761876	NA	NA	NA	precursor_RNA
hsa_piR_019825_DQ597218	0.905286216	0.042669323	0.098841673	NA	NA	NA	piRNA
URS00007E4A13_GR_chr9_136670616_136670637_22_+	-0.848898227	0.042728716	0.098841673	NA	NA	NA	miRNA
URS000000A699_GR_chr11_10509189_10509257_69_-	0.785444123	0.042737485	0.098841673	NA	NA	NA	tRNA
URS000031B2D8_GR_chr21_8209687_8209710_24_+	0.87369548	0.043012836	0.099339168	NA	NA	NA	misc_RNA
URS00001D69F6_GR_chr9_136670616_136670636_21_+	-0.844740514	0.043320277	0.099909282	NA	NA	NA	miRNA
URS0000EFD26A_GR_chr14_100109672_100109739_68_+	1.084148546	0.04387165	0.101039596	NA	NA	NA	precursor_RNA
URS00006E3D71_GR_chr1_28578749_28578822_74_-	0.649318761	0.043941995	0.101060461	NA	NA	NA	snoRNA
URS000075A722_GR_chr1_28578743_28578822_80_-	0.649070568	0.044057255	0.101184419	0.462239835	0.090091796	0.174433051	snoRNA
URS000071B780_GR_chr14_100109655_100109753_99_+	1.082936437	0.044327665	0.101663867	1.507234457	0.049644638	0.111272464	precursor_RNA
URS00000FB60D_GR_chr16_57299951_57300033_83_+	0.82010767	0.045769148	0.104824063	0.18736338	0.731792254	0.807189032	tRNA
URS00004C5774_GR_chr10_98395271_98395292_22_-	-0.795287547	0.046173935	0.105604463	NA	NA	NA	miRNA
URS00008F213D_GR_chr11_10509188_10509256_69_-	0.772093092	0.046245076	0.10562068	NA	NA	NA	tRNA
URS000075B70E_GR_chr14_100109715_100109739_25_+	1.06694889	0.046447729	0.105936799	1.062728318	0.039653076	0.09300077	miRNA
URS0000682FB0_GR_chr20_18329006_18329102_97_+	0.717333787	0.046809594	0.106614669	NA	NA	NA	Y_RNA
URS00006C133C_GR_chr6_28758364_28758435_72_-	0.803852538	0.047176376	0.107301853	NA	NA	NA	tRNA
hsa_piR_020541_DQ598252	1.163957042	0.047404006	0.107671081	NA	NA	NA	piRNA
URS0000009A89_GR_chr1_16545983_16546010_28_-	0.861464319	0.047553538	0.107862152	NA	NA	NA	piRNA
URS000047CFA7_GR_chr21_8212572_8212592_21_+	0.777277615	0.047628983	0.107884881	0.880496235	0.205766584	0.31953514	misc_RNA
URS0000DE3548_GR_chr1_629499_629526_28_-	-0.71490107	0.047752877	0.108017139	NA	NA	NA	tRNA
URS000066697F_GR_chrX_70396279_70396375_97_+	0.740632858	0.047943522	0.108245615	NA	NA	NA	Y_RNA
URS0000148B91_GR_chr14_100109715_100109737_23_+	1.036051347	0.047985169	0.108245615	NA	NA	NA	miRNA
URS00006DA515_GR_chr6_27295433_27295504_72_+	0.8408308	0.048137503	0.108328743	2.962723624	0.004313979	0.019338525	tRNA
URS0000415026_GR_chr15_65869062_65869133_72_-	0.776444042	0.048153407	0.108328743	0.767107038	0.068670335	0.144236729	tRNA
URS000075C92B_GR_chr10_8611534_8611557_24_+	0.678618744	0.049215829	0.110567986	0.909811452	0.29043298	0.411672916	miRNA
URS0000669010_GR_chr8_11035206_11035302_97_-	-0.671196851	0.049402872	0.110686598	NA	NA	NA	precursor_RNA
URS0000EFF26D_GR_chr8_11035220_11035279_60_-	-0.671196851	0.049402872	0.110686598	NA	NA	NA	precursor_RNA
URS00003D1AE3_GR_chr13_50049167_50049188_22_-	0.622797367	0.049481098	0.110711439	NA	NA	NA	miRNA
URS00004A7BA1_GR_chr21_8212566_8212588_23_+	0.826365987	0.049588346	0.110794556	0.908414152	0.028711867	0.071977408	misc_RNA
URS0000137EDE_GR_chr6_71376960_71377031_72_-	-0.681221567	0.049652624	0.110794556	-1.301974778	0.016594303	0.049349072	precursor_RNA
URS0000EFBE70_GR_chr1_198858886_198858947_62_-	0.781321247	0.049785747	0.110893259	0.576600479	0.147728791	0.249412245	precursor_RNA
URS0000EFDE05_GR_chr6_71376963_71377025_63_-	-0.679945242	0.049831355	0.110893259	-0.886935575	0.029611743	0.073826538	precursor_RNA
URS00006C2A6C_GR_chr11_33004250_33004345_96_-	0.71262581	0.051016816	0.113378341	NA	NA	NA	Y_RNA
URS000075C4DE_GR_chr1_40754355_40754446_92_+	-0.64858394	0.051755438	0.114666172	-1.122268788	0.003837671	0.017786341	precursor_RNA
URS0000EFBB0B_GR_chr1_40754370_40754434_65_+	-0.648493742	0.051773886	0.114666172	NA	NA	NA	precursor_RNA
URS0000A32854_GR_chr11_10509189_10509256_68_-	0.755008271	0.051804911	0.114666172	NA	NA	NA	tRNA
URS0000679BF3_GR_chr6_28789770_28789841_72_-	0.796775778	0.051978058	0.114895198	NA	NA	NA	tRNA
URS0000718DAA_GR_chr9_136670608_136670680_73_+	-0.776831957	0.052612194	0.116083561	-1.708511095	9.70E-04	0.007005508	precursor_RNA
URS0000759B6D_GR_chr9_136670602_136670686_85_+	-0.776703661	0.052656461	0.116083561	NA	NA	NA	precursor_RNA
URS0000EFBB94_GR_chr9_136670615_136670674_60_+	-0.776278623	0.052748115	0.116130362	NA	NA	NA	precursor_RNA
URS000014D7B3_GR_chr17_76561160_76561186_27_+	-0.984703484	0.053059977	0.116661204	NA	NA	NA	piRNA
URS0000EFE91C_GR_chr11_111513450_111513505_56_+	-0.788184866	0.053252345	0.116928252	-0.973434596	0.048618711	0.109512442	precursor_RNA
URS0000514CEC_GR_chr21_8258710_8258726_17_+	-0.839524116	0.053433249	0.117169451	NA	NA	NA	miRNA
URS00002D4542_GR_chr17_31550074_31550145_72_+	1.402808716	0.053511091	0.117184315	0.80327119	0.647171416	0.74359342	tRNA
URS000019907A_GR_chr1_40757300_40757322_23_+	-0.645236174	0.054112979	0.11834523	NA	NA	NA	miRNA
URS000053336F_GR_chr16_2155023_2155105_83_-	1.283453559	0.054458199	0.118942476	1.440316712	0.026390742	0.067431363	snoRNA
URS00001D4EE9_GR_chr6_28817235_28817306_72_-	0.833706021	0.054779747	0.119486512	NA	NA	NA	tRNA
URS00006C14B2_GR_chr6_27541775_27541856_82_-	0.679324919	0.054927227	0.11964993	1.453892466	0.279289427	0.39961223	tRNA
URS00001F1DA8_GR_chr9_136670653_136670674_22_+	-0.782404619	0.055425584	0.120576238	-0.877491774	0.038088583	0.090497677	miRNA
URS00002B54B1_GR_chr6_27280258_27280348_91_-	1.73257877	0.055630074	0.120717966	NA	NA	NA	precursor_RNA
URS000009DDCA_GR_chr6_27280270_27280342_73_-	1.732356991	0.055637146	0.120717966	1.843203208	0.04846303	0.109432649	tRNA
URS0000EFCA8E_GR_chr17_48037173_48037232_60_-	-0.579042418	0.055969284	0.121142548	-0.62127713	0.039119239	0.092085047	precursor_RNA
URS00006A0932_GR_chr17_48037161_48037247_87_-	-0.578916053	0.05605271	0.121142548	-0.876777576	0.006883982	0.026659581	precursor_RNA
URS00006E64C2_GR_chr6_26577104_26577192_89_+	0.63634582	0.056053223	0.121142548	NA	NA	NA	tRNA
URS00002901EC_GR_chr6_26311196_26311267_72_-	0.783855775	0.057327874	0.12338704	2.46535567	4.42E-04	0.004516622	tRNA
URS000019D79B_GR_chr11_79402077_79402099_23_-	0.894900819	0.057401382	0.12338704	NA	NA	NA	miRNA
URS000031EDF0_GR_chr17_76561108_76561193_86_+	-0.948688358	0.057427011	0.12338704	NA	NA	NA	snoRNA
URS0000634240_GR_chr17_76561109_76561192_84_+	-0.948688358	0.057427011	0.12338704	-0.211021458	0.622300873	0.720339238	snoRNA
URS000075BF8B_GR_chrX_74218547_74218618_72_-	-0.667196901	0.057615537	0.12338704	NA	NA	NA	precursor_RNA
URS000069DBBB_GR_chrX_74218548_74218618_71_-	-0.667196901	0.057615537	0.12338704	NA	NA	NA	precursor_RNA
URS000075D5D3_GR_chrX_74218549_74218618_70_+	-0.667196901	0.057615537	0.12338704	NA	NA	NA	precursor_RNA
URS000069B369_GR_chr11_3663815_3663911_97_-	0.721863803	0.057737263	0.123487349	0.216863095	0.770819959	0.837047926	Y_RNA
URS00007E4C77_GR_chr9_136670652_136670674_23_+	-0.76708085	0.057950713	0.123783324	-0.377674802	0.282553519	0.403015207	miRNA
URS0000EFF427_GR_chrX_74218556_74218608_53_-	-0.665269075	0.058363289	0.124503317	-0.784503881	0.019547265	0.056469876	precursor_RNA
URS000062CFAD_GR_chr9_83969759_83969849_91_-	0.720658854	0.058592636	0.124831082	NA	NA	NA	precursor_RNA
URS00001D4EE9_GR_chr6_28802800_28802870_71_-	0.809563471	0.058853624	0.125225323	NA	NA	NA	tRNA
URS0000502C74_GR_chr16_636736_636806_71_-	0.800925219	0.058935477	0.125237888	NA	NA	NA	tRNA
URS00002222F7_GR_chr1_204506527_204506598_72_+	0.747045177	0.059205501	0.125563082	NA	NA	NA	tRNA
hsa_piR_018780_DQ595807	-0.985263881	0.059369102	0.125563082	-0.890417627	0.072442283	0.147637381	piRNA
URS00006100A0_GR_chr9_114209434_114209519_86_+	1.30265586	0.059529202	0.125563082	NA	NA	NA	precursor_RNA
URS00006DDD67_GR_chr9_114209434_114209519_86_-	1.30265586	0.059529202	0.125563082	NA	NA	NA	precursor_RNA
URS000075AC6B_GR_chr9_114209434_114209529_96_+	1.30265586	0.059529202	0.125563082	1.203037308	0.062042342	0.131912456	precursor_RNA
URS000011554A_GR_chr6_71403546_71403625_80_-	-1.2001443	0.059668874	0.125563082	-1.91391949	0.020731622	0.057870479	misc_RNA
URS000043D261_GR_chr6_71403551_71403621_71_-	-1.200036575	0.059693611	0.125563082	-1.59007345	0.020816537	0.057929812	precursor_RNA
URS0000EFE1FD_GR_chr6_71403553_71403616_64_-	-1.200101233	0.059697669	0.125563082	-1.02382544	0.108437629	0.196622882	precursor_RNA
URS000024463E_GR_chr1_207802450_207802472_23_-	0.67179444	0.059956582	0.12594701	0.727965432	0.030025149	0.074246972	miRNA
URS0000759A5D_GR_chr14_101065300_101065378_79_+	-0.963558751	0.060529383	0.126827132	NA	NA	NA	precursor_RNA
URS00004D42DB_GR_chr14_101065301_101065377_77_+	-0.963558751	0.060529383	0.126827132	NA	NA	NA	precursor_RNA
URS00006744D5_GR_chr6_27091742_27091813_72_+	1.058731592	0.060784361	0.127199761	3.546081271	0.002374292	0.012782073	tRNA
URS00002E131D_GR_chrX_85903639_85903662_24_-	-0.703990244	0.06122842	0.127966621	-0.500446538	0.217583998	0.331106085	miRNA
URS000022DD4A_GR_chr1_204506527_204506599_73_+	0.720498191	0.061488589	0.1283477	NA	NA	NA	tRNA
URS0000EFEAE6_GR_chr16_69933103_69933125_23_+	-0.703519125	0.061689712	0.128604721	-0.814274765	0.055406816	0.121202411	miRNA
URS000044730B_GR_chr5_181173650_181173724_75_+	0.738154162	0.062181646	0.129426538	1.298272907	0.008380979	0.030637556	tRNA
URS0000247F78_GR_chr13_50049026_50049048_23_-	0.651935532	0.062320303	0.129426538	NA	NA	NA	miRNA
URS000026261D_GR_chr16_69933103_69933124_22_+	-0.700375773	0.062326289	0.129426538	NA	NA	NA	miRNA
URS000067474D_GR_chr11_59556429_59556501_73_+	0.683813259	0.062456181	0.129426538	NA	NA	NA	tRNA
hsa_piR_009295_DQ582567	0.837797446	0.062476364	0.129426538	NA	NA	NA	piRNA
URS0000758952_GR_chr16_3152608_3152679_72_-	1.580142111	0.063518726	0.131420802	NA	NA	NA	tRNA
URS0000DBCB96_GR_chr1_629499_629538_40_-	-0.672222214	0.063939822	0.132054448	NA	NA	NA	tRNA
URS0000EFCF77_GR_chr14_101065313_101065367_55_+	-0.946748513	0.063985145	0.132054448	-0.822254655	0.13324166	0.23095221	precursor_RNA
URS00001DFE3F_GR_chr11_111513438_111513517_80_+	-0.758717542	0.064178043	0.132121839	NA	NA	NA	precursor_RNA
URS000075E7C8_GR_chr11_111513439_111513515_77_+	-0.758717542	0.064178043	0.132121839	NA	NA	NA	precursor_RNA
URS0000DC244F_GR_chr1_629499_629548_50_-	-0.671066154	0.064267275	0.13214057	NA	NA	NA	tRNA
URS0000DD91BE_GR_chr1_629499_629551_53_-	-0.670852691	0.064357872	0.132162057	NA	NA	NA	tRNA
URS00000674BE_GR_chr19_4724621_4724713_93_-	0.98067112	0.064822444	0.13295051	NA	NA	NA	precursor_RNA
URS0000DC46F0_GR_chr1_629499_629555_57_-	-0.668086131	0.065469734	0.134111293	NA	NA	NA	tRNA
URS00006F04EF_GR_chr7_93482760_93482855_96_-	-0.774481965	0.066256051	0.135335371	NA	NA	NA	precursor_RNA
URS0000868523_GR_chr16_636738_636806_69_-	0.785399143	0.06628233	0.135335371	NA	NA	NA	tRNA
URS00005FF45E_GR_chr1_65058441_65058462_22_-	-0.625047611	0.066313511	0.135335371	-1.043194398	0.004467069	0.019733168	miRNA
URS000037D0FB_GR_chr6_27545689_27545770_82_+	0.653801789	0.066494328	0.135536645	NA	NA	NA	tRNA
URS0000A0C3D0_GR_chr1_629499_629558_60_-	-0.665015373	0.066870346	0.135677016	NA	NA	NA	tRNA
hsa_piR_018292_DQ595186	0.783034594	0.066950773	0.135677016	NA	NA	NA	piRNA
URS000075DF00_GR_chr18_49489235_49489324_90_-	0.773077938	0.067095576	0.135677016	NA	NA	NA	snoRNA
URS00002FDD5B_GR_chr13_91350618_91350641_24_+	0.806227721	0.067127013	0.135677016	NA	NA	NA	miRNA
URS00004BCD9C_GR_chr13_50049027_50049048_22_-	0.641159949	0.067138243	0.135677016	NA	NA	NA	miRNA
URS0000DF26DD_GR_chr1_629499_629559_61_-	-0.664442824	0.067139142	0.135677016	NA	NA	NA	tRNA
URS0000DF113F_GR_chr1_629499_629560_62_-	-0.664442824	0.067139142	0.135677016	NA	NA	NA	tRNA
URS0000EFD7D6_GR_chr7_93482783_93482840_58_-	-0.768863912	0.067878132	0.137002497	-2.43876589	7.42E-04	0.006134792	precursor_RNA
URS00004E6E4D_GR_chr17_8226661_8226691_31_-	0.617660966	0.068303642	0.137468928	0.392540999	0.190489139	0.300424812	piRNA
URS000033EC0B_GR_chr6_27545685_27545770_86_+	0.648213605	0.068396884	0.137468928	NA	NA	NA	tRNA
URS00002AB33E_GR_chr18_49489244_49489308_65_-	0.769078822	0.068442686	0.137468928	0.891515638	0.07421476	0.150078737	snoRNA
URS00006ADC79_GR_chr18_49489245_49489308_64_-	0.769078822	0.068442686	0.137468928	NA	NA	NA	snoRNA
URS0000DEEFFD_GR_chr1_629499_629561_63_-	-0.660496021	0.068799517	0.138017522	NA	NA	NA	tRNA
URS00002B4CE5_GR_chr19_4724635_4724707_73_-	0.983738751	0.06909424	0.138192922	1.338943682	0.039788021	0.093077375	tRNA
URS0000EFDE70_GR_chr17_7223307_7223364_58_-	0.651407118	0.069109657	0.138192922	1.004944998	0.014910223	0.045838861	precursor_RNA
URS00002075FA_GR_chr13_91350618_91350640_23_+	0.795881894	0.069138363	0.138192922	NA	NA	NA	miRNA
URS000029E173_GR_chrX_74287325_74287346_22_-	-0.60471424	0.069821814	0.139390037	NA	NA	NA	miRNA
URS0000493225_GR_chr14_20633006_20633077_72_+	0.729752458	0.070538372	0.140650273	1.438798428	0.009981118	0.034535427	tRNA
URS000032234E_GR_chr1_198858927_198858947_21_-	0.806864522	0.070766053	0.140933841	NA	NA	NA	miRNA
URS000028FD1A_GR_chr8_11035221_11035242_22_-	-0.608871111	0.071057944	0.141344451	-0.656822857	0.050730293	0.113148447	miRNA
URS000056BFD0_GR_chr13_50048973_50049061_89_-	0.645379308	0.071455057	0.141895104	NA	NA	NA	precursor_RNA
URS0000EFBCA6_GR_chr19_45639047_45639070_24_-	0.739194658	0.071506872	0.141895104	-1.921442682	0.103106957	0.189168005	miRNA
URS0000D52B16_GR_chr19_45639048_45639070_23_-	0.738472042	0.071759583	0.142225423	NA	NA	NA	miRNA
URS00000980C2_GR_chr1_40757300_40757323_24_+	-0.59200258	0.071879221	0.14229152	NA	NA	NA	miRNA
URS0000EFE46D_GR_chr13_50048983_50049048_66_-	0.643930275	0.072137224	0.142473708	0.551850234	0.084298444	0.165326689	precursor_RNA
URS0000584589_GR_chr13_50048977_50049057_81_-	0.643994598	0.072144055	0.142473708	NA	NA	NA	precursor_RNA
URS0000832EA8_GR_chr1_630851_630916_66_-	0.643338385	0.072830327	0.143201823	NA	NA	NA	tRNA
URS000017EE98_GR_chr3_160404745_160404825_81_+	0.643413205	0.072937589	0.143201823	NA	NA	NA	precursor_RNA
URS0000695392_GR_chr3_160404745_160404825_81_-	0.643413205	0.072937589	0.143201823	NA	NA	NA	precursor_RNA
URS0000EFDFC2_GR_chr3_160404753_160404818_66_+	0.643413205	0.072937589	0.143201823	0.958358967	0.021243081	0.058757459	precursor_RNA
URS00001230A0_GR_chr1_65058442_65058462_21_-	-0.613653823	0.073029726	0.143201823	NA	NA	NA	miRNA
URS0000EFE138_GR_chr9_114209448_114209506_59_+	1.08719163	0.073033798	0.143201823	0.121604739	0.831622007	0.880996538	precursor_RNA
URS0000273B65_GR_chr12_54337278_54337298_21_+	0.610956583	0.073125517	0.143211375	NA	NA	NA	miRNA
hsa_piR_020500_DQ598190	0.776875819	0.073978839	0.144710682	NA	NA	NA	piRNA
URS00006CFACA_GR_chr6_28735429_28735500_72_-	0.772820373	0.074080687	0.144738214	NA	NA	NA	tRNA
URS000008DA94_GR_chr1_1167916_1167937_22_+	0.643193582	0.074553621	0.145489848	NA	NA	NA	miRNA
URS00001B460B_GR_chr6_28607156_28607186_31_+	0.773591978	0.07494251	0.146075886	NA	NA	NA	piRNA
URS000042B8BF_GR_chr6_28607156_28607185_30_+	0.772953572	0.07558688	0.147157928	NA	NA	NA	piRNA
URS00000C18F2_GR_chr1_167714725_167714796_72_+	0.977111121	0.076271157	0.148315022	NA	NA	NA	tRNA
URS0000DCB5E1_GR_chr1_629499_629525_27_-	-0.631533965	0.076717025	0.149006329	NA	NA	NA	tRNA
URS0000EFD2C8_GR_chr7_93482819_93482840_22_-	-0.746374853	0.076867313	0.149122586	NA	NA	NA	miRNA
URS0000DD8165_GR_chr1_629501_629568_68_-	-0.645920513	0.077683879	0.150529631	NA	NA	NA	tRNA
URS000075A0E5_GR_chr19_45638994_45639087_94_-	0.715231103	0.077901146	0.150596705	NA	NA	NA	precursor_RNA
URS000066DE63_GR_chr19_45638994_45639090_97_-	0.715231103	0.077901146	0.150596705	NA	NA	NA	precursor_RNA
URS0000416117_GR_chr1_167715488_167715559_72_-	0.982308555	0.078160008	0.150855108	NA	NA	NA	tRNA
URS0000EFD273_GR_chr11_64891158_64891223_66_-	0.585038101	0.078217779	0.150855108	0.498130162	0.093096432	0.177605352	precursor_RNA
